TIMESTAMP_1,_Ta_1_1_1,RH_1_1_1,Rg_1_1_1,Lwin_1_1_1,Lwout_1_1_1,Swin_1_1_1,Swout_1_1_1,PPFD_1_1_1,P_1_1_1,P_rain_1_1_1
yyyy-mm-dd HHMM,C,%,W+1m-2,W+1m-2,W+1m-2,W+1m-2,W+1m-2,umol+1m-2s-1,mm,mm
2015-10-29 1500,2.285,58.84333,210.5141,271.8736,326.7673,210.5141,34.24305,299.0733,0,0
2015-10-29 1530,2.41,53.63,164.7603,263.2492,324.7211,164.7603,26.91433,234.9967,0,0
2015-10-29 1600,2.1,54.88833,127.6048,258.7209,322.0233,127.6048,20.8165,166.831,0,0
2015-10-29 1630,1.6075,57.74166,86.71037,251.4197,318.1494,86.71037,14.09851,97.68104,0,0
2015-10-29 1700,0.8749999,62.32417,50.27956,253.7509,316.2318,50.27956,8.444367,39.99817,0,0
2015-10-29 1730,0.3783333,63.92333,16.47151,244.7881,312.3372,16.47151,3.371811,9.489438,0,0
2015-10-29 1800,-0.01083333,66.78667,1.300756,258.5556,310.9594,1.300756,1.099148,0.8459722,0,0
2015-10-29 1830,-0.07416666,68.37,2.814298,263.603,309.3668,2.814298,0.3114707,0.5176849,0,0
2015-10-29 1900,-0.1608333,70.15666,2.569671,269.7899,309.734,2.569671,0.3808438,0.4718069,0,0
2015-10-29 1930,-0.6,73.78,2.360109,276.9951,309.6918,2.360109,0.2841724,0.6108403,0,0
2015-10-29 2000,-0.9925,76.915,2.794185,274.1037,307.4296,2.794185,0.06572221,0.5200776,0,0
2015-10-29 2030,-1.734167,80.56667,3.146827,263.1809,305.7288,3.146827,0.07205535,0.5817307,0,0
2015-10-29 2100,-2.039167,83.29582,4.677448,248.6834,301.3158,4.677448,0.4473468,0.5817312,0,0
2015-10-29 2130,-1.920833,82.11667,2.823371,268.0026,302.6051,2.823371,0.2111638,0.3923044,0,0
2015-10-29 2200,-0.9391667,75.87416,1.965006,283.0104,305.2047,1.965006,0.1180915,0.523451,0,0
2015-10-29 2230,-0.8183333,73.915,1.667963,283.422,307.8722,1.667963,0.1220953,0.5088941,0,0
2015-10-29 2300,-0.8975,73.6025,1.986858,280.7226,307.7301,1.986858,0.009341081,0.4819934,0,0
2015-10-29 2330,-0.8183333,72.70834,1.715639,286.4824,308.331,1.715639,0.05104162,0.5279578,0,0
2015-10-30 0000,-0.7666667,71.90916,1.343371,289.792,308.3073,1.343371,0.03736442,0.5862528,0,0
2015-10-30 0030,-0.8641666,71.54082,1.492944,288.0105,308.5451,1.492944,0.001668161,0.4741563,0,0
2015-10-30 0100,-0.9716666,71.47916,2.230547,274.687,307.4452,2.230547,0.02602189,0.4965819,0,0
2015-10-30 0130,-0.8266667,70.15166,1.703783,282.024,307.1664,1.703783,0.09207969,0.4203645,0,0
2015-10-30 0200,-0.9841667,70.65749,1.52609,285.9019,307.5111,1.52609,0.02568948,0.4192365,0,0
